arquitetura,camadas,ativacao,regularizacao,otimizador,test_loss,test_acc
pequena,"[50, 64, 4]",relu,none,sgd,1.282806634902954,0.4749999940395355
pequena,"[50, 64, 4]",relu,none,sgd,1.282806634902954,0.4749999940395355
pequena,"[50, 64, 4]",relu,none,adam,0.8667639493942261,0.6625000238418579
pequena,"[50, 64, 4]",relu,none,sgd_l2,1.2478969097137451,0.5208333134651184
pequena,"[50, 64, 4]",relu,dropout,sgd,1.2643440961837769,0.5208333134651184
pequena,"[50, 64, 4]",relu,dropout,adam,0.8629522323608398,0.6666666865348816
pequena,"[50, 64, 4]",relu,dropout,sgd_l2,1.2668945789337158,0.4416666626930237
pequena,"[50, 64, 4]",relu,l2,sgd,1.2621952295303345,0.5041666626930237
pequena,"[50, 64, 4]",relu,l2,adam,0.8541298508644104,0.675000011920929
pequena,"[50, 64, 4]",relu,l2,sgd_l2,1.243100881576538,0.5416666865348816
pequena,"[50, 64, 4]",tanh,none,sgd,1.1756842136383057,0.5375000238418579
pequena,"[50, 64, 4]",tanh,none,adam,0.7412930727005005,0.7458333373069763
pequena,"[50, 64, 4]",tanh,none,sgd_l2,1.1581673622131348,0.550000011920929
pequena,"[50, 64, 4]",tanh,dropout,sgd,1.1833114624023438,0.5208333134651184
pequena,"[50, 64, 4]",tanh,dropout,adam,0.739155113697052,0.737500011920929
pequena,"[50, 64, 4]",tanh,dropout,sgd_l2,1.1681522130966187,0.5458333492279053
pequena,"[50, 64, 4]",tanh,l2,sgd,1.1038601398468018,0.612500011920929
pequena,"[50, 64, 4]",tanh,l2,adam,0.7360837459564209,0.7541666626930237
pequena,"[50, 64, 4]",tanh,l2,sgd_l2,1.1597907543182373,0.5458333492279053
media,"[50, 128, 64, 4]",relu,none,sgd,1.3622117042541504,0.3333333432674408
media,"[50, 128, 64, 4]",relu,none,adam,0.667730987071991,0.7666666507720947
media,"[50, 128, 64, 4]",relu,none,sgd_l2,1.3461582660675049,0.4166666567325592
media,"[50, 128, 64, 4]",relu,dropout,sgd,1.3513559103012085,0.3708333373069763
media,"[50, 128, 64, 4]",relu,dropout,adam,0.7428810000419617,0.7958333492279053
media,"[50, 128, 64, 4]",relu,dropout,sgd_l2,1.3430001735687256,0.40833333134651184
media,"[50, 128, 64, 4]",relu,l2,sgd,1.3618597984313965,0.36250001192092896
media,"[50, 128, 64, 4]",relu,l2,adam,0.7269700169563293,0.7791666388511658
media,"[50, 128, 64, 4]",relu,l2,sgd_l2,1.3551677465438843,0.4416666626930237
media,"[50, 128, 64, 4]",tanh,none,sgd,1.2081900835037231,0.637499988079071
media,"[50, 128, 64, 4]",tanh,none,adam,0.6713106036186218,0.7791666388511658
media,"[50, 128, 64, 4]",tanh,none,sgd_l2,1.1995129585266113,0.5833333134651184
media,"[50, 128, 64, 4]",tanh,dropout,sgd,1.1961053609848022,0.6083333492279053
media,"[50, 128, 64, 4]",tanh,dropout,adam,0.634868323802948,0.7791666388511658
media,"[50, 128, 64, 4]",tanh,dropout,sgd_l2,1.2216874361038208,0.6083333492279053
media,"[50, 128, 64, 4]",tanh,l2,sgd,1.1805990934371948,0.6416666507720947
media,"[50, 128, 64, 4]",tanh,l2,adam,0.623790979385376,0.7875000238418579
media,"[50, 128, 64, 4]",tanh,l2,sgd_l2,1.2134556770324707,0.6208333373069763
grande,"[50, 256, 128, 64, 4]",relu,none,sgd,1.3756009340286255,0.36250001192092896
grande,"[50, 256, 128, 64, 4]",relu,none,adam,0.8357058167457581,0.7875000238418579
grande,"[50, 256, 128, 64, 4]",relu,none,sgd_l2,1.3764230012893677,0.3333333432674408
grande,"[50, 256, 128, 64, 4]",relu,dropout,sgd,1.3702729940414429,0.42916667461395264
grande,"[50, 256, 128, 64, 4]",relu,dropout,adam,0.7876156568527222,0.7875000238418579
grande,"[50, 256, 128, 64, 4]",relu,dropout,sgd_l2,1.381419062614441,0.23749999701976776
grande,"[50, 256, 128, 64, 4]",relu,l2,sgd,1.3840973377227783,0.2750000059604645
grande,"[50, 256, 128, 64, 4]",relu,l2,adam,0.895161509513855,0.7791666388511658
grande,"[50, 256, 128, 64, 4]",relu,l2,sgd_l2,1.3809069395065308,0.3291666805744171
grande,"[50, 256, 128, 64, 4]",tanh,none,sgd,1.2535570859909058,0.7041666507720947
grande,"[50, 256, 128, 64, 4]",tanh,none,adam,0.7095432281494141,0.7916666865348816
grande,"[50, 256, 128, 64, 4]",tanh,none,sgd_l2,1.2514662742614746,0.6291666626930237
grande,"[50, 256, 128, 64, 4]",tanh,dropout,sgd,1.2605456113815308,0.6041666865348816
grande,"[50, 256, 128, 64, 4]",tanh,dropout,adam,0.6672419905662537,0.7916666865348816
grande,"[50, 256, 128, 64, 4]",tanh,dropout,sgd_l2,1.2528266906738281,0.5916666388511658
grande,"[50, 256, 128, 64, 4]",tanh,l2,sgd,1.2268122434616089,0.637499988079071
grande,"[50, 256, 128, 64, 4]",tanh,l2,adam,0.6772775650024414,0.800000011920929
grande,"[50, 256, 128, 64, 4]",tanh,l2,sgd_l2,1.2815929651260376,0.5249999761581421
